# Trajectories Requiring Chassis Movement
# Total: 519


## scene_2 (3 trajectories)
tracking_zigzag_036 (X: 3.000m, Score: 3.005m)
dolly_push_in_039 (X: 3.000m, Score: 3.005m)
dolly_push_in_053 (X: 3.000m, Score: 3.005m)
dolly_push_in_070 (X: 3.000m, Score: 3.004m)
dolly_push_in_002 (X: 3.000m, Score: 3.004m)
tracking_zigzag_035 (X: 3.000m, Score: 3.004m)
dolly_push_in_087 (X: 3.000m, Score: 3.004m)
dolly_push_in_092 (X: 3.000m, Score: 3.004m)
dolly_push_in_090 (X: 3.000m, Score: 3.004m)
dolly_push_in_079 (X: 3.000m, Score: 3.003m)
dolly_push_in_080 (X: 3.000m, Score: 3.003m)
dolly_push_in_082 (X: 3.000m, Score: 3.003m)
dolly_push_in_028 (X: 3.000m, Score: 3.003m)
dolly_push_in_096 (X: 3.000m, Score: 3.003m)
dolly_push_in_029 (X: 3.000m, Score: 3.003m)
dolly_push_in_097 (X: 3.000m, Score: 3.003m)
dolly_push_in_086 (X: 3.000m, Score: 3.003m)
dolly_push_in_088 (X: 3.000m, Score: 3.003m)
tracking_zigzag_068 (X: 3.000m, Score: 3.002m)
dolly_push_in_046 (X: 3.000m, Score: 3.002m)
dolly_push_in_009 (X: 3.000m, Score: 3.002m)
dolly_push_in_075 (X: 3.000m, Score: 3.002m)
tracking_zigzag_008 (X: 3.000m, Score: 3.002m)
tracking_zigzag_024 (X: 3.000m, Score: 3.002m)
tracking_zigzag_088 (X: 3.000m, Score: 3.002m)
tracking_zigzag_087 (X: 3.000m, Score: 3.002m)
dolly_push_in_016 (X: 3.000m, Score: 3.002m)
dolly_push_in_068 (X: 3.000m, Score: 3.002m)
dolly_push_in_094 (X: 3.000m, Score: 3.002m)
tracking_zigzag_090 (X: 3.000m, Score: 3.002m)
dolly_push_in_011 (X: 3.000m, Score: 3.002m)
dolly_push_in_023 (X: 3.000m, Score: 3.001m)
tracking_zigzag_089 (X: 3.000m, Score: 3.001m)
dolly_push_in_020 (X: 3.000m, Score: 3.001m)
dolly_push_in_067 (X: 3.000m, Score: 3.001m)
dolly_push_in_065 (X: 3.000m, Score: 3.001m)
tracking_zigzag_016 (X: 3.000m, Score: 3.001m)
dolly_push_in_093 (X: 3.000m, Score: 3.001m)
dolly_push_in_017 (X: 3.000m, Score: 3.001m)
dolly_push_in_036 (X: 3.000m, Score: 3.001m)
dolly_push_in_005 (X: 3.000m, Score: 3.001m)
dolly_push_in_054 (X: 3.000m, Score: 3.000m)
tracking_zigzag_085 (X: 3.000m, Score: 3.000m)
dolly_push_in_084 (X: 3.000m, Score: 3.000m)
dolly_push_in_089 (X: 3.000m, Score: 3.000m)
dolly_push_in_010 (X: 3.000m, Score: 3.000m)
dolly_push_in_099 (X: 3.000m, Score: 3.000m)
dolly_push_in_052 (X: 3.000m, Score: 3.000m)
tracking_zigzag_079 (X: 3.000m, Score: 3.000m)
dolly_push_in_037 (X: 3.000m, Score: 3.000m)
dolly_push_in_076 (X: 3.000m, Score: 3.000m)
dolly_push_in_047 (X: 3.000m, Score: 3.000m)
dolly_push_in_025 (X: 3.000m, Score: 3.000m)
dolly_push_in_061 (X: 3.000m, Score: 3.000m)
dolly_push_in_056 (X: 3.000m, Score: 3.000m)
tracking_zigzag_075 (X: 3.000m, Score: 3.000m)
tracking_zigzag_060 (X: 3.000m, Score: 3.000m)
dolly_push_in_004 (X: 3.000m, Score: 3.000m)
dolly_push_in_077 (X: 3.000m, Score: 3.000m)
dolly_push_in_091 (X: 3.000m, Score: 3.000m)
tracking_zigzag_014 (X: 3.000m, Score: 3.000m)
dolly_push_in_003 (X: 3.000m, Score: 3.000m)
dolly_push_in_073 (X: 3.000m, Score: 3.000m)
dolly_push_in_095 (X: 3.000m, Score: 3.000m)
orbit_left_012 (X: 2.874m, Score: 2.999m)
dolly_push_in_040 (X: 2.996m, Score: 2.998m)
arc_left_push_053 (X: 2.875m, Score: 2.997m)
tracking_zigzag_028 (X: 2.915m, Score: 2.992m)
orbit_right_064 (X: 2.887m, Score: 2.991m)
arc_left_push_097 (X: 2.943m, Score: 2.989m)
orbit_right_032 (X: 2.852m, Score: 2.985m)
arc_left_push_064 (X: 2.871m, Score: 2.985m)
dolly_push_in_083 (X: 2.984m, Score: 2.984m)
tracking_zigzag_043 (X: 2.943m, Score: 2.983m)
arc_left_push_055 (X: 2.895m, Score: 2.980m)
dolly_push_in_022 (X: 2.974m, Score: 2.975m)
dolly_push_in_008 (X: 2.972m, Score: 2.974m)
tracking_zigzag_011 (X: 2.961m, Score: 2.972m)
arc_left_push_058 (X: 2.798m, Score: 2.972m)
dolly_push_in_035 (X: 2.970m, Score: 2.970m)
tracking_zigzag_071 (X: 2.876m, Score: 2.968m)
arc_left_push_042 (X: 2.794m, Score: 2.968m)
dolly_push_in_071 (X: 2.966m, Score: 2.967m)
orbit_left_042 (X: 2.789m, Score: 2.963m)
tracking_zigzag_093 (X: 2.945m, Score: 2.963m)
arc_left_push_012 (X: 2.803m, Score: 2.961m)
orbit_right_073 (X: 2.922m, Score: 2.961m)
orbit_left_068 (X: 2.890m, Score: 2.960m)
tracking_zigzag_037 (X: 2.904m, Score: 2.959m)
dolly_push_in_074 (X: 2.954m, Score: 2.956m)
dolly_push_in_062 (X: 2.948m, Score: 2.954m)
orbit_right_097 (X: 2.849m, Score: 2.950m)
orbit_left_011 (X: 2.799m, Score: 2.946m)
orbit_left_079 (X: 2.861m, Score: 2.946m)
dolly_push_in_033 (X: 2.944m, Score: 2.945m)
orbit_right_081 (X: 2.826m, Score: 2.944m)
dolly_push_in_038 (X: 2.933m, Score: 2.938m)
tracking_zigzag_027 (X: 2.937m, Score: 2.937m)
tracking_zigzag_009 (X: 2.935m, Score: 2.936m)
arc_left_push_056 (X: 2.765m, Score: 2.934m)
orbit_right_099 (X: 2.855m, Score: 2.925m)
arc_left_push_054 (X: 2.794m, Score: 2.924m)
tracking_zigzag_082 (X: 2.807m, Score: 2.921m)
dolly_push_in_021 (X: 2.916m, Score: 2.918m)
arc_left_push_004 (X: 2.903m, Score: 2.911m)
dolly_push_in_049 (X: 2.910m, Score: 2.910m)
tracking_zigzag_052 (X: 2.881m, Score: 2.905m)
arc_left_push_044 (X: 2.726m, Score: 2.903m)
orbit_left_051 (X: 2.859m, Score: 2.896m)
dolly_push_in_027 (X: 2.892m, Score: 2.895m)
tracking_zigzag_005 (X: 2.887m, Score: 2.892m)
dolly_push_in_064 (X: 2.886m, Score: 2.888m)
orbit_right_011 (X: 2.789m, Score: 2.886m)
tracking_zigzag_019 (X: 2.859m, Score: 2.885m)
tracking_zigzag_029 (X: 2.815m, Score: 2.878m)
tracking_zigzag_061 (X: 2.861m, Score: 2.878m)
dolly_push_in_012 (X: 2.854m, Score: 2.876m)
dolly_push_in_026 (X: 2.856m, Score: 2.874m)
orbit_right_059 (X: 2.742m, Score: 2.871m)
arc_left_push_085 (X: 2.741m, Score: 2.868m)
dolly_push_in_058 (X: 2.865m, Score: 2.868m)
orbit_left_077 (X: 2.777m, Score: 2.866m)
arc_left_push_003 (X: 2.687m, Score: 2.866m)
arc_left_push_014 (X: 2.749m, Score: 2.863m)
orbit_right_090 (X: 2.844m, Score: 2.862m)
