episode,env,total_reward,length
77,13,-270123.0811715126,399
78,14,-360866.4431092739,399
79,15,-296616.465303421,399
80,16,-157424.90593588352,399
81,17,-328013.78063583374,399
82,18,-362632.57734012604,399
83,19,-361006.5615081787,399
84,20,-244960.2017660141,399
85,21,-706850.411147356,399
86,22,-334675.0680756569,399
87,23,-374764.0162115097,399
88,24,-417877.72734963894,399
89,25,-262792.67678642273,399
90,26,-498935.0490193367,399
91,27,-284014.00963163376,399
92,28,-197726.837100029,399
93,29,-384754.4909439087,399
94,30,-379228.80087703466,399
95,31,-256705.70573234558,399
96,32,-388885.98247146606,399
97,33,-222465.69570934772,399
98,34,-369217.31192684174,399
99,35,-342782.96780979633,399
100,36,-402512.49984276295,399
101,37,-248789.285466671,399
102,38,-368096.29529190063,399
103,39,-280194.7728071213,399
104,40,-384431.89134156704,399
105,41,-360372.3065595627,399
106,42,-322114.3381588459,399
107,43,-389757.8337917328,399
108,44,-349108.9053220749,399
109,45,-286079.7189526558,399
110,46,-253061.90807151794,399
111,47,-333283.7055518627,399
112,48,-234283.51374053955,399
113,49,-355128.6782236099,399
114,50,-358873.47368860245,399
115,51,-280150.79248070717,399
116,52,-217617.2295292616,399
117,53,-280637.8906478882,399
118,54,-235780.06052923203,399
119,55,-234948.71943819523,399
120,56,-225901.53983783722,399
121,57,-268136.2810919285,399
122,58,-238740.17629051208,399
123,59,-370539.3998192549,399
124,60,-348056.09668827057,399
125,61,-381002.83001708984,399
126,62,-366126.9923801422,399
127,63,-343054.50359785557,399
128,0,-225275.6509833336,399
129,1,-226726.08143424988,399
130,2,-368005.52522039413,399
131,3,-337741.2656888962,399
132,4,-270309.208943367,399
133,5,-185314.99344742298,399
134,6,-248581.48041272163,399
135,7,-348990.5149846673,399
136,8,-371455.7946815491,399
137,9,-422929.26228141785,399
138,10,-511885.56578445435,399
139,11,-436483.1518154144,399
140,12,-251986.82939207554,399
141,13,-703627.0489501953,399
142,14,-399392.5782613754,399
143,15,-408876.00546741486,399
144,16,-270843.6595902443,399
145,17,-288634.1873922348,399
146,18,-158136.8436665535,399
147,19,-166486.1470785141,399
148,20,-297059.4058954716,399
149,21,-295686.86180114746,399
150,22,-457791.63998031616,399
151,23,-348962.6333332062,399
152,24,-160104.63716316223,399
153,25,-244378.2002234459,399
154,26,-399756.7566962242,399
155,27,-216451.89765548706,399
156,28,-305115.37777996063,399
157,29,-315198.8590526581,399
158,30,-327327.77166080475,399
159,31,-226293.76786625385,399
160,32,-220711.5413274765,399
161,33,-325963.87352848053,399
162,34,-556108.5057544708,399
163,35,-422259.0659892559,399
164,36,-273256.6270570755,399
165,37,-320435.4369750023,399
166,38,-259720.18350291252,399
167,39,-236608.923286438,399
168,40,-366844.0399169922,399
169,41,-346444.51641607285,399
170,42,-370806.74937701225,399
171,43,-318197.83043956757,399
172,44,-387256.684926033,399
173,45,-279898.91452741623,399
174,46,-302733.20378685,399
175,47,-242124.98115730286,399
176,48,-231967.96651160717,399
177,49,-210740.5679244995,399
178,50,-354219.3230355978,399
179,51,-310677.48407161236,399
180,52,-355411.2842822075,399
181,53,-348199.4449095726,399
182,54,-258782.90871858597,399
183,55,-251272.88445448875,399
184,56,-373961.1570916176,399
185,57,-321729.1513710022,399
186,58,-231182.19141316414,399
187,59,-315398.1099358797,399
188,60,-341544.12029600143,399
189,61,-313336.87037467957,399
190,62,-262207.2464237213,399
191,63,-373553.32474935055,399
192,0,-222895.05047941208,399
193,1,-214636.99877393246,399
194,2,-326046.69525909424,399
195,3,-162808.38956069946,399
196,4,-353586.8433711529,399
197,5,-319681.411403656,399
198,6,-183024.12275123596,399
199,7,-203523.71559238434,399
