case,duration_s,command_feasible_ratio,attitude_reconstruction_error_max_deg,base_yaw_rate_max_rad_s,yaw_command_min_deg,yaw_command_max_deg,roll_command_min_deg,roll_command_max_deg,pitch_command_min_deg,pitch_command_max_deg,yaw_rate_p95_deg_s,roll_rate_p95_deg_s,pitch_rate_p95_deg_s,yaw_rate_max_deg_s,roll_rate_max_deg_s,pitch_rate_max_deg_s,command_envelope_feasible,attitude_reconstruction_exact,base_yaw_rate_bounded,hard_command_rate_bounded,filming_command_rate_p95_bounded,passed
31,14.640981,1.0,0.0,0.25000000000000056,1.0785784748334812,22.866451368458936,-0.3504999110858088,4.127153158491047,-3.5722872809825965,-0.05735220720227713,13.97236677335889,3.032526268903222,0.8926531562730764,14.03268220613686,3.1476107148952144,1.5924312595317642,True,True,True,True,True,True
32,8.289792083333333,1.0,0.0,0.2500000000000004,-2.0225356143490894,17.685444965133104,-0.872726796702994,2.070044322848075,-0.7721994814046019,1.1830969574421246,14.265156867015369,2.4374812946990576,0.8895545343578327,14.302696747529135,2.570970665071855,1.1793011927388457,True,True,True,True,True,True
33,36.976044333333334,1.0,0.0,0.25000000000000056,-159.1019170296101,34.999345256973534,-23.36565030389808,11.312100662099088,-14.264619466439465,28.250354687647103,15.454695536740887,5.536245795907733,5.560317285083764,15.592748130937153,5.784214768395843,5.76906466548306,True,True,True,True,True,True
34,14.628629166666666,1.0,0.0,0.2500000000000003,-6.307248672474217,16.577263598449075,-3.883363475423159,1.2451018051801943,-4.473286339271131,-1.6679928318047108,13.94903923681078,3.3246998671900685,0.39579468449576727,13.971694622313612,3.364320181619412,0.8101104195318127,True,True,True,True,True,True
35,10.819482875,1.0,0.0,0.25,-89.56712422960689,3.907060010134014,-6.148380777066802,-0.46452537186797377,3.4695943594196277,8.008995369979091,14.250604879144376,1.35637229997231,1.1105680836364538,14.253037999002547,1.393123402257933,1.114664320007746,True,True,True,True,True,True
36,16.142234541666667,1.0,0.0,0.2500000000000011,-39.3026205946005,-3.3949452420969553,-3.5054100886373427,-2.3478422120953373,7.192245266391315,8.269874190701008,14.829314807711809,0.4307998113104737,0.44185506322113066,15.56123990548005,0.4840763821586601,0.551633167742779,True,True,True,True,True,True
37,9.279348416666668,1.0,0.0,0.2500000000000022,-43.8308091822393,-1.790769981794072,-2.5434150276558256,-1.6239355756244584,8.01763529885939,9.031502114661176,16.582303723520198,0.27824270108253674,0.3351619283779832,16.58273696990904,0.2944280934907848,0.3525609410098613,True,True,True,True,True,True
38,25.200210333333334,1.0,0.0,0.25000000000000444,26.776004896328676,171.4529917333366,-36.78808228795199,37.46156371567827,-30.331206286203084,6.760713679814945,17.55839911412631,8.987725630926743,10.887428845698658,18.05654177233843,9.043580634018893,11.38160604678458,True,True,True,True,True,True
39,23.006836958333334,1.0,0.0,0.25000000000000444,-179.59170326166984,179.50414649257573,-20.179078511102514,37.62778308916259,-29.769111585983538,30.71144781721151,17.87582319074003,8.8541463823964,11.240341983044354,18.115913464736675,8.988900894989342,11.456803382212136,True,True,True,True,True,True
41,8.958201166666667,1.0,0.0,0.25000000000000056,-12.374936608671081,15.674218814113807,15.745012294774135,44.571608238647116,2.496339423848059,20.393011230040212,20.683918914428332,7.103666785575356,14.677544582479996,20.942296621332193,7.7427807000522195,15.168210689236819,True,True,True,True,True,True
42,16.204934625,1.0,0.0,0.25000000000000056,-3.0893367059009464,17.558802639314937,-1.2187346730654776,11.86406367308576,4.439887421969667,8.827177708911693,14.272616268975716,1.1870693931893275,0.690466868107595,14.516587797604956,2.2023302306097077,1.1596456715740209,True,True,True,True,True,True
43,7.511265333333334,1.0,0.0,0.25000000000000056,-2.094521294317902,44.27529663257747,-1.9733938184462698,1.7416511882885397,9.742645872815894,10.60377496593527,14.374129890738034,1.551762490901303,0.5090895064899897,14.641138309821516,1.6126629901612566,0.6157553265622946,True,True,True,True,True,True
44,13.516440708333334,1.0,0.0,0.25000000000000056,-27.265712926471416,24.574073490472202,26.233107519307957,38.19260349779185,-9.056221370959923,23.191706414757814,18.44783208420778,4.0682403199985595,11.926083830611688,18.545067726872308,4.7820451645481095,11.988697110221691,True,True,True,True,True,True
45,11.943113541666667,1.0,0.0,0.2500000000000011,-32.836133778857516,2.736077040871738,-5.30934883765502,-0.06075080185778046,-3.0421300672373603,-0.5977894063765792,16.674321214225262,2.989294345733766,1.0343262207437007,16.727247725294227,3.4255537970787557,1.1977143063059597,True,True,True,True,True,True
46,15.692745666666667,1.0,0.0,0.2500000000000011,-21.155731986525666,13.254491177565107,0.43515559915178464,1.6829919988642073,6.937048091082034,9.205504339697285,14.46880338316137,0.37557210784934675,0.5758701381050276,14.469749576859808,0.5892049242308426,0.8668608882026798,True,True,True,True,True,True
47,16.529864125,1.0,0.0,0.25000000000000056,-21.192429044178155,13.26116595331234,0.45077014171700686,1.6827660425912332,6.936705455303341,9.34966082091605,14.460927197737888,0.3709452722793217,0.5753453474899154,14.462027509167452,0.584647200093717,0.8526463620505503,True,True,True,True,True,True
48,28.168623583333332,1.0,0.0,0.2500000000000022,-85.02658754233758,18.669634203287643,-4.299444082464941,-0.8896709654381005,9.206226891862453,11.608829060888736,14.397669626123548,0.6650566518951269,0.6435105943007576,14.481122587215273,0.7150889391908649,0.676613730432764,True,True,True,True,True,True
49,52.14104541666667,1.0,0.0,0.2500000000000022,-179.40770394204017,179.88854388756678,-5.5359633104987145,10.28141862207177,-2.2390776894040902,20.30501116537209,14.667390506764534,2.6819955364351284,3.0241619856193913,14.748808791369727,3.1036978591913393,3.1320493731321175,True,True,True,True,True,True
50,38.017315125,1.0,0.0,0.25000000000000056,-179.64593625774344,179.6503829546724,-5.542383340148422,10.200094855429525,-2.2870668872415267,20.186063725453288,14.779171468228862,2.735158181572087,3.062638370342331,14.818558828497036,3.2061154334245283,3.1646881644891813,True,True,True,True,True,True
