episode,env,total_reward,length
99,35,-116249.64174836874,399
100,36,-346433.7077279091,399
101,37,-311701.2448387146,399
102,38,-301547.7653684616,399
103,39,-298753.53931713104,399
104,40,-314269.8142876625,399
105,41,-362954.97405958176,399
106,42,-352828.3071784973,399
107,43,-238184.5682349205,399
108,44,-313528.8783874512,399
109,45,-173912.21758270264,399
110,46,-315098.7116639614,399
111,47,-305665.26295757294,399
112,48,-361493.98690223694,399
113,49,-331699.7183866501,399
114,50,-270945.1928282976,399
115,51,-120460.40607720613,399
116,52,-297971.71096229553,399
117,53,-152744.4205968976,399
118,54,-401933.947729826,399
119,55,-392676.1079301834,399
120,56,-323642.79432463646,399
121,57,-109794.103459239,399
122,58,-345337.08574676514,399
123,59,-332461.7799654007,399
124,60,-374071.9711675644,399
125,61,-487551.47076916695,399
126,62,-305745.8525657654,399
127,63,-247705.81164336205,399
128,0,-346366.89381599426,399
129,1,-326543.1954212189,399
130,2,-313656.69779777527,399
131,3,-332254.69383627176,399
132,4,-116801.57923328876,399
133,5,-282142.2146024704,399
134,6,-298842.31487083435,399
135,7,-128259.66019284725,399
136,8,-350099.58857250214,399
137,9,-125381.17676854134,399
138,10,-347103.0969479084,399
139,11,-450520.3162391186,399
140,12,-161203.302079916,399
141,13,-142753.46895074844,399
142,14,-476654.6711950302,399
143,15,-308405.11389160156,399
144,16,-333745.8885343075,399
145,17,-243965.35752677917,399
146,18,-284309.8438000679,399
147,19,-333038.0307607651,399
148,20,-337769.970099926,399
149,21,-421053.19838809967,399
150,22,-373908.27754831314,399
151,23,-123441.78432393074,399
152,24,-351304.4313516617,399
153,25,-335641.69691705704,399
154,26,-360543.12625074387,399
155,27,-281212.4310693741,399
156,28,-338675.33495521545,399
157,29,-323736.73483991623,399
158,30,-357511.08148786426,399
159,31,-341319.1827888489,399
160,32,-326075.4295349121,399
161,33,-277507.7887066789,399
162,34,-414952.1669664383,399
163,35,-297231.03299331665,399
164,36,-338165.00296878815,399
165,37,-178851.69304466248,399
166,38,-286657.97960329056,399
167,39,-355098.4159190655,399
168,40,-124323.74407458305,399
169,41,-165490.77139043808,399
170,42,-419876.0569181442,399
171,43,-117512.77088427544,399
172,44,-109620.36770820618,399
173,45,-113833.05140808225,399
174,46,-339210.39286756516,399
175,47,-299218.12792778015,399
176,48,-356443.35092544556,399
177,49,-140549.98308944702,399
178,50,-303531.7380590439,399
179,51,-363707.976108551,399
180,52,-126907.11623287201,399
181,53,-310121.20122122765,399
182,54,-127418.41546738148,399
183,55,-292023.035854578,399
184,56,-346606.86691474915,399
185,57,-336925.6610584259,399
186,58,-371872.458550334,399
187,59,-134847.65656232834,399
188,60,-284356.3997220993,399
189,61,-431247.0472692698,399
190,62,-382094.89467811584,399
191,63,-323766.2332248688,399
192,0,-366250.0793633461,399
193,1,-44254.01009553671,399
194,2,-417716.7724878788,399
195,3,-314774.7073626518,399
196,4,-284593.5518655777,399
197,5,-347106.7732489109,399
198,6,-117997.998716712,399
199,7,-345591.1538910866,399
