joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel
-1.3325625e-05,-0.0006042381,-0.00021286086,2.5508404,1.1863455,-1.1158658,0.4124597,-0.30685335,-0.11371721,0.0005411273,0.0004309116,-0.00022157257,0.063683115,0.006431997,0.1478086,-0.16012993,-0.32758668,0.14348644
-1.3209146e-05,-0.00072688697,-0.00028713062,2.5653877,1.1344676,-1.0332501,0.49386632,-0.38989615,-0.08244611,-0.0008792574,-0.0035407925,-0.00060033996,0.09766193,-0.23355252,0.42193592,0.026662111,-0.0033529997,-0.030443542
0.0001415197,-0.000773899,-0.000167196,2.5632217,1.072783,-1.0373762,0.5741694,-0.44005996,-0.08876673,0.0004745807,-0.0035883016,-0.00030412868,-0.031095676,-0.1939699,-0.4710551,0.730631,-0.6509798,-0.010950029
1.36272865e-05,-0.00056262774,-0.00010926421,2.5595589,1.0249021,-0.9863072,0.52357984,-0.42068765,-0.12837291,-0.00083882327,0.0024270103,0.0007888702,0.004896663,-0.21474059,0.31077164,-0.71213526,0.24827656,-0.09030586
0.00022363571,-0.00067948096,0.00016523321,2.5685792,1.0110378,-0.95074964,0.45026493,-0.39789027,-0.12678969,-0.0012533625,-0.0060382755,-0.0013658106,-0.10433113,-0.2924775,-0.21792567,-0.49310228,0.07641619,0.36926928
2.4086286e-05,-0.0007134249,1.9345336e-05,2.5620956,0.91259116,-0.9558282,0.34792402,-0.37000853,-0.12477623,-0.002269645,0.00046796724,-0.0005206615,-0.063983,-0.101993755,-0.031202853,-0.78890777,-0.22992203,0.27389568
-8.358795e-05,-0.00065335655,3.8710066e-05,2.5731583,0.852851,-0.90971255,0.25956357,-0.45353934,-0.09922282,-0.008457895,-0.0025328724,-0.002281322,-0.084779866,0.04377184,-0.027845513,-0.4685725,-0.5553782,0.02160915
-2.267212e-05,-0.0005743318,0.00013934165,2.5664735,0.8857358,-0.88560176,0.31472287,-0.5003901,-0.093977585,0.004805403,-0.0014360367,0.0044619376,-0.07116353,0.39089411,-0.13258606,0.1616253,-0.22066039,-0.214899
9.4371135e-06,-0.00071814226,0.00024538604,2.5786684,0.90482867,-0.87587106,0.40074688,-0.6035516,-0.09032174,0.00029499579,0.0020020206,-0.00027775636,0.06721008,0.25869474,-0.099534534,0.017167017,0.27634948,-0.19942577
5.6978864e-05,-0.00072789215,0.00018125013,2.5771775,0.89814234,-0.8685458,0.36812705,-0.6201457,-0.121950135,0.004270677,-0.0006887204,0.0037167163,0.0037625302,0.090422764,0.16013919,-0.3368013,-0.2983677,-0.034149244
0.00011639783,-0.00049177825,0.0001472575,2.5679731,0.91486156,-0.8309733,0.35324582,-0.6655775,-0.07239189,-0.00011482631,-0.004023891,0.002231066,-0.030590452,-0.12509653,0.17900383,-0.21149299,0.2310318,-0.26678187
0.00029840978,-0.0007584129,0.00028977447,2.5085669,0.9891515,-1.2369566,0.27679148,-0.39945152,-0.17618138,-0.0013791972,0.0010243992,-0.00026989466,-0.5897739,0.008705283,-2.297939,-0.39503914,1.9458646,-0.3291128
-0.00016612292,0.000116942894,2.703029e-05,2.4284813,0.9639609,-1.5851092,0.013263781,0.121354,-0.21930702,0.0003101722,0.003197225,-0.0015477833,-0.025556378,-0.0075932853,0.2459622,-1.3420848,0.3804701,-0.38183433
-5.6938807e-05,0.00021699176,2.6839074e-05,2.3953366,0.9372498,-1.6159713,-0.01588289,0.12951182,-0.23145145,-3.5306875e-05,0.004572174,0.0008251448,-0.19942093,0.083006084,0.150787,0.10981566,-0.13022742,0.22564447
1.6536287e-06,2.6007547e-05,-5.2627172e-05,2.3635547,0.8938126,-1.6341344,-0.084881075,0.113157436,-0.23515314,0.001009744,-0.00494377,-0.0004992008,-0.09138108,-0.13011356,-0.068107665,0.03840649,0.20986289,-0.08965087
2.9621078e-06,5.785266e-05,-0.00010228754,2.3556848,0.8927264,-1.6035168,-0.06860952,0.11508519,-0.2296653,0.00036688222,-0.00034264766,0.00040810907,0.054493774,-0.101679124,0.27268302,-0.5370834,0.3762314,0.1442044
9.994919e-05,-1.3962985e-05,-6.585166e-05,2.3835347,0.85566324,-1.5986664,-0.048434436,0.13127896,-0.22792435,0.00010011339,-0.0042673163,-0.0009397698,-0.02546902,-0.2490567,0.16719013,0.21165307,0.08230899,-0.04683795
-5.5123244e-05,-0.00011907623,1.6439237e-05,2.3393247,0.8105914,-1.607517,0.027397608,0.12646303,-0.24977362,-0.00031148733,0.0024398866,0.0009592428,-0.40653056,0.032378446,-0.068823695,0.28010806,-0.24390242,0.021638311
0.00012060798,7.167541e-05,-8.668043e-05,2.3003933,0.7918514,-1.6158125,-0.018647611,0.08867221,-0.23874733,-3.8054102e-05,-0.0071201883,-0.00084733433,-0.09806618,-0.16619866,-0.12955675,-0.78199685,0.06647612,-0.10210406
0.00017822269,-0.00016251422,-0.00011718721,2.281139,0.78716046,-1.6210597,-0.09954822,0.1010804,-0.2532291,-0.001021142,-0.0060165874,0.00040542783,-0.15918356,-0.20201963,-0.42478257,-0.209463,-0.093604565,0.022141784
5.4716013e-05,3.6167876e-05,-0.00011863031,2.329275,0.7936752,-1.5798677,-0.046310954,0.10985523,-0.21851394,0.00016561107,0.0013103695,0.0004388225,0.07497511,-0.02351451,0.12284039,0.645694,-0.14177868,-0.2757252
0.000115766976,-7.047824e-05,-0.00010035481,2.3356853,0.8019722,-1.587338,-0.034623615,0.12103109,-0.21040002,-0.0012515036,0.0002955516,0.00025884237,0.010412183,-0.16232559,0.05759272,0.31966966,0.28607202,-0.06891604
-4.4045344e-05,0.000116628245,-7.1156624e-05,2.3482363,0.8164305,-1.58342,-0.023009691,0.09558568,-0.21852934,0.00014473064,0.0020493572,6.3635525e-05,0.030807003,0.19827971,-0.019483894,0.8402915,-0.12822884,-0.019928131
-4.2447766e-05,2.051107e-06,-8.904046e-05,2.3687682,0.87436426,-1.5567536,-0.04163515,0.068816796,-0.20363548,-0.0008630579,0.004680534,0.00010372522,0.081943825,0.15291288,0.16517869,-0.17973451,0.144923,0.092535436
-7.203553e-05,0.00010594934,-0.0001101983,2.3883243,0.92001677,-1.5339565,-0.02775426,0.05713148,-0.20427252,-0.00012226711,0.0060751485,0.0014740261,0.15040188,0.24429609,0.08406382,0.3050326,0.13542196,0.09656514
9.8325996e-05,-0.00022713332,6.8686277e-06,2.364727,0.98376656,-1.5251892,-0.0153433755,0.051780283,-0.21900553,0.00037416705,-0.008056474,0.0006696787,-0.2747817,-0.20618248,-0.030176267,-0.1369188,0.11946792,-0.112337574
0.00016016405,-8.574421e-05,-0.00011791662,2.3848693,1.0550885,-1.4908087,0.010912901,0.037128955,-0.209868,-0.0004467233,-0.0031724807,0.0005227783,0.009778224,-0.012303926,-0.20613757,-0.07823537,0.2537856,-0.010105148
2.0149557e-05,-2.5708876e-05,-3.7067453e-05,2.39105,1.0672389,-1.4608305,0.013840627,-0.012734644,-0.21949598,-0.0012629696,0.004119616,0.0007187822,0.005483132,0.12933248,-0.008464426,-0.42287228,-0.22024205,-0.21293572
3.4543787e-05,1.1825465e-05,5.6309138e-05,2.417387,1.0999606,-1.4089096,-0.090218976,-0.041717008,-0.21320866,-1.4825579e-05,0.0025948733,0.0030735363,-0.2753617,-0.06745914,0.42295444,-0.43535405,0.38712665,0.0011500716
0.00022982337,-8.64176e-05,-1.41268965e-05,2.4374313,1.1488569,-1.4048102,-0.07165113,-0.03421856,-0.20639771,-0.0007495068,-0.0042986115,-0.0012748742,-0.052263945,-0.2419459,-0.055471558,-0.24468334,0.078324355,0.046181325
-0.00011036124,0.00029860012,-3.8143742e-05,2.4820933,1.1502061,-1.4127281,0.06546388,-0.05485054,-0.19971156,9.8531425e-05,0.0010380002,0.00058499,0.16343284,0.22249624,0.36778444,0.6650995,-0.22163421,0.22883725
8.744491e-05,3.001632e-05,-7.5156575e-05,2.4896326,1.1847167,-1.3804104,0.121410534,-0.048673347,-0.20756581,-0.00037575053,-0.0016828221,3.24188e-05,0.15705828,-0.20572461,0.3300225,0.48814118,0.28168678,-0.03115926
-0.00012213722,0.00016725733,-1.4177924e-05,2.4702008,1.1549959,-1.355145,0.109237745,-0.016363159,-0.21713276,9.8550896e-05,0.004957109,0.0012501815,-0.10425207,0.09424746,0.44900146,-0.27996895,0.29585975,-0.26890764
2.3230124e-05,0.0001225989,6.38402e-06,2.4747696,1.1729354,-1.3392923,0.14074218,-0.018408015,-0.20483708,9.8332835e-05,-0.0010598907,0.0010575412,-0.17359655,0.0726988,-0.0862318,0.71777827,-0.027717317,0.32780564
6.6093926e-05,6.137064e-05,-8.894716e-05,2.4589353,1.1709661,-1.2922454,0.21287335,0.003801398,-0.21952893,0.00015059541,-0.0011656743,-0.0009262697,-0.018758297,-0.12941015,0.50886434,0.8548535,-0.1299667,0.060997754
8.3116145e-05,-3.8097452e-05,-7.223505e-05,2.4997568,1.1481417,-1.2903857,0.19033897,-0.02499573,-0.1943366,-0.00013300717,-0.0003880891,0.00061572285,-0.0036747288,-0.19177534,0.060042515,0.4873995,-0.015068267,0.08333767
