ee_pos_error_x,ee_pos_error_y,ee_pos_error_z,ee_pos_error_norm,ee_ori_error_rad,ee_ori_error_deg,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel
-0.8760597,0.33177835,-0.1023659,1.1582386,2.7656822,158.46191,-0.00010261229,2.166954e-05,-8.5483574e-05,2.3690813,0.7704544,-1.5724466,-0.041407946,0.12719972,-0.22159609,-0.0011845799,0.0042949426,0.000738997,0.08541608,0.01334548,0.45592302,0.09748928,-0.196331,-0.08288108
-0.9627084,0.29207197,-0.10475514,1.2767341,2.7478173,157.43832,1.1413642e-05,4.077474e-05,-8.0400714e-05,2.3737445,0.7331969,-1.5725224,-0.041537344,0.14248349,-0.21146426,-0.0011340781,0.0015408678,0.0005322545,-0.030140601,-0.043316662,0.009801269,-0.5177551,-0.1672563,0.0074218474
-1.0322095,0.2207314,-0.09419346,1.3606112,2.7139258,155.49649,-3.185292e-05,8.2342405e-05,-2.3003333e-05,2.3788543,0.7446982,-1.5693264,-0.038594753,0.11248186,-0.22110498,-0.00051442184,0.0013859447,0.0010060951,-0.26305825,0.15207946,-0.036004506,0.21887802,-0.47251087,0.14967728
-1.1003044,0.1642608,-0.08247855,1.4233629,2.7002823,154.71478,-3.0739182e-05,0.0001491824,-4.467903e-05,2.3889241,0.7528471,-1.5364206,-0.01436534,0.10628821,-0.19932204,7.960119e-05,-4.847627e-05,0.0006216665,-0.14902234,0.15077372,0.07008279,-0.58628976,0.12521388,0.013343722
-1.1687119,0.12727648,-0.07846804,1.4977026,2.7223725,155.98044,-0.00017741957,0.00031416878,1.6853242e-05,2.3886347,0.74413675,-1.5288959,-0.08506283,0.07221378,-0.22194882,0.0001056623,0.00834631,0.0012757927,-0.06234898,0.42430097,0.28065598,-0.335129,-0.08844824,-0.31620014
-1.2204974,0.102024555,-0.068565175,1.5757422,2.6829872,153.72385,4.6058954e-05,-4.1805688e-05,-8.7050284e-05,2.3603137,0.77446926,-1.5269282,-0.14730608,0.05003239,-0.21937841,0.0002408764,-0.0031069764,0.00022079388,-0.0675217,-0.14428979,0.17678142,0.47808677,-0.0038242042,0.18208975
-1.3212601,0.073569715,-0.045810096,1.6934392,2.6627192,152.56258,-1.723432e-05,6.518303e-05,-8.271865e-05,2.3757782,0.7942653,-1.4741913,-0.1235642,0.0026070438,-0.20051256,0.0003550603,-0.0032454338,-0.0017112123,0.1827727,0.03155259,0.015953586,0.20770186,-0.010573953,0.33013338
-1.4404786,0.028936554,-0.051093027,1.8055258,2.6736226,153.18729,-4.5765213e-05,0.000104546365,6.4143074e-05,2.384827,0.7965323,-1.4989728,-0.06792241,0.016934967,-0.21608752,-0.00035652623,0.0009874643,0.0017893454,-0.20687188,0.08795383,0.062833756,0.20301485,0.067458786,0.10637155
-1.514192,-0.035434473,-0.025492493,1.8597722,2.5957808,148.72726,-7.124861e-05,0.00038565032,-3.5043755e-05,2.3716695,0.85841596,-1.4464984,-0.017627092,0.007901242,-0.22412848,0.00061624823,-0.0035105555,-8.2504295e-05,-0.12785773,0.24027327,0.2723234,0.22901967,0.15535447,-0.25932598
-1.6513939,-0.111729585,-0.02361286,1.9630077,2.62191,150.22437,-7.837075e-05,0.00019472033,-0.00013523635,2.3964772,0.89631426,-1.4475675,-0.07921439,-0.012217751,-0.2313419,-0.0004964592,0.0015846714,-0.00035339966,0.20738833,0.109779194,0.32180193,-0.33805805,-0.041402526,-0.048124813
