episode,env,total_reward,length
94,30,-30159.975254535675,399
95,31,-20801.72608193755,399
96,32,-375166.8691096306,399
97,33,-295069.1697239876,399
98,34,-316032.26511627436,399
99,35,-357549.2951218635,399
100,36,-299226.83780679107,399
101,37,-283965.1842380464,399
102,38,-306318.9606433213,399
103,39,-307345.78913760185,399
104,40,-301971.7689227462,399
105,41,-289886.0311282277,399
106,42,-234398.14472675323,399
107,43,-238050.5728188306,399
108,44,-249699.84803426266,399
109,45,-286255.23433947563,399
110,46,-11478.820613011718,399
111,47,-31370.071025607176,399
112,48,-277321.84312081337,399
113,49,-228142.2418023534,399
114,50,-435531.7517642975,399
115,51,-455711.84916583076,399
116,52,-393377.02389645576,399
117,53,-318269.9771411419,399
118,54,-377770.9326546192,399
119,55,-13203.184414684772,399
120,56,-272562.90269209445,399
121,57,-331985.6890836954,399
122,58,-21498.962541937828,399
123,59,-12664.541062355042,399
124,60,-345458.8960380554,399
125,61,-280876.71197571605,399
126,62,-306661.3470644355,399
127,63,-287490.3463704586,399
128,0,-382821.74643087387,399
129,1,-364969.2055566311,399
130,2,-437050.7090699002,399
131,3,-334833.24225243926,399
132,4,-12885.822084650397,399
133,5,-256629.84797986783,399
134,6,-288199.7891226411,399
135,7,-174086.48163080215,399
136,8,-397428.51240324974,399
137,9,-340206.87948834896,399
138,10,-282911.7430469692,399
139,11,-288420.9565657377,399
140,12,-13274.479167371988,399
141,13,-253780.2978321761,399
142,14,-335232.5014691353,399
143,15,-423912.2395014763,399
144,16,-12250.342755794525,399
145,17,-323612.7496473789,399
146,18,-204237.57749783993,399
147,19,-179758.9025235772,399
148,20,-209694.88938373327,399
149,21,-203857.41524592042,399
150,22,-270034.4881746471,399
151,23,-32707.584862291813,399
152,24,-396706.80030602217,399
153,25,-241724.3553097248,399
154,26,-24308.120324730873,399
155,27,-21049.801065951586,399
156,28,-232624.3725772202,399
157,29,-445902.218103528,399
158,30,-446631.3552070856,399
159,31,-297620.44314682484,399
160,32,-332701.9131563008,399
161,33,-276625.24633049965,399
162,34,-322170.95579466224,399
163,35,-11556.103402674198,399
164,36,-318175.9204145372,399
165,37,-271905.0577761978,399
166,38,-345365.5375711918,399
167,39,-220501.51162934303,399
168,40,-381677.1334092617,399
169,41,-259638.1570326686,399
170,42,-295998.2253584862,399
171,43,-417159.52552855015,399
172,44,-357070.0206884146,399
173,45,-319687.18686795235,399
174,46,-300739.54161167145,399
175,47,-313042.9909416437,399
176,48,-360660.4341664314,399
177,49,-298737.80648708344,399
178,50,-447286.20351839066,399
179,51,-338546.57701158524,399
180,52,-207050.41837072372,399
181,53,-277386.82358026505,399
182,54,-372840.18667316437,399
183,55,-338852.4922502041,399
184,56,-308224.6497051716,399
185,57,-248697.28403878212,399
186,58,-39600.19942602515,399
187,59,-10318.03789179027,399
188,60,-350834.08786058426,399
189,61,-307447.66127705574,399
190,62,-264830.0735897124,399
191,63,-422489.1024746895,399
192,0,-14787.05508287251,399
193,1,-17786.651489257812,399
194,2,-247035.9294899404,399
195,3,-52718.69596745074,399
196,4,-322275.43028640747,399
197,5,-225970.7451172471,399
198,6,-256183.71716940403,399
199,7,-375513.09245967865,399
